date	city_key	accommodation_key	emoji	notes	tagline	travel	hero_image
2026-10-21	emeishan	chongqing-yangtze-view	🌅	"## Sunrise
Wake before dawn for sunrise at the **Golden Summit** — and if conditions line up, watch for the famous Buddha's Halo in the clouds below.

## Descent
Take the cable car down and the **eco-bus** back to the base. Collect the stored luggage, shower if the lodge offers day-use rooms, and have an early lunch before leaving.

## Leshan stop
On the way north, stop in **Leshan** for the easier panoramic **boat view** of the Giant Buddha rather than trying to cram in the full cliff walk after the mountain.

## Evening
Continue by high-speed train from **Leshan** to **Chongqing North**. Book the train in advance and expect a late but manageable arrival."	Sunrise on Emei and the Leshan Buddha	Leshan → Chongqing North by high-speed rail, ~1.5 hrs	https://upload.wikimedia.org/wikipedia/commons/a/aa/Leshan_giant_buddha.jpg
2026-10-22	chongqing	chongqing-yangtze-view	🌆	"## Morning
Slow Chongqing morning after the late arrival. Sleep in, find noodles near the hotel, and keep the first half of the day unstructured.

## Afternoon
Explore the central peninsula on foot: **Jiefangbei**, the stepped lanes around **Shibati**, and the riverfront viewpoints.

## Dusk
Head to **Hongya Cave** for the lights coming on over the **Jialing River**.

## Dinner
Chongqing **hot-pot** — order the **yuan-yang** half-and-half pot if anyone is heat-sensitive."	Chongqing neon and hot-pot		https://images.unsplash.com/photo-1563081827-9c35f1bc8db0?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-23	zhangjiajie	zhangjiajie-forest-lodge	🌿	"## Travel
Flight from **Chongqing Jiangbei (CKG)** to **Zhangjiajie Hehua (DYG)**, ~2 hrs — book in advance.

## Afternoon
Transfer to **Wulingyuan**, check in, and keep this as a genuine arrival day. Walk the creekside streets, sort tomorrow's park tickets, and turn in early.

## Evening
Dinner near the hotel rather than attempting a rushed park detour after the flight."	Arrive in Zhangjiajie and settle in	Flight CKG → DYG, ~2 hrs	https://images.unsplash.com/photo-1733114103524-be9ba326a745?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-24	zhangjiajie	zhangjiajie-forest-lodge	🏔️	"## Morning
Full day in **Zhangjiajie National Forest Park**. Start at **sunrise** on the **Yuanjiajie** plateau (most dramatic lighting on the columns). Walk the cliff-hanging **Tianzi Mountain** trails. Take the **Bailong Elevator** (the world's tallest outdoor elevator, **330 m**, glass-sided) down through the cliff face — genuinely terrifying.

## Afternoon
**Jinbian Stream** canyon trail — a **7 km** riverside walk through the densest concentration of pillars. Pack snacks; food stalls are limited inside the park."	Avatar peaks, cliffs and glass elevator		https://images.unsplash.com/photo-1546881963-ac8d67aee789?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-25	zhangjiajie	zhangjiajie-forest-lodge	🌉	"## Full day at Tianmen Mountain
Prebook a timed entry and give **Tianmen Mountain** the whole day; trying to pair it with the Grand Canyon is what makes this area feel frantic.

Ride the long cable car up, visit the cliff walkways, descend via the escalators to **Tianmen Cave**, and only tackle the **999 stairs** if the group still feels fresh.

## Evening
Easy dinner and an early night before the Guilin transfer tomorrow."	Tianmen Mountain and Heaven's Gate		https://images.unsplash.com/photo-1743093263638-845bee7205c0?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-26	guilin	guilin-li-river-guesthouse	🚢	"## Travel
Flight from **Zhangjiajie Hehua (DYG)** to **Guilin Liangjiang (KWL)**, ~1.5–2 hrs. From the airport, transfer straight to **Yangshuo** and check into the guesthouse.

## Afternoon
Keep it easy after the travel: stretch your legs along the **Li River** and browse **West Street** rather than trying to squeeze in countryside cycling immediately.

## Evening
**Impression Liu Sanjie** is a good first-night splurge if everyone is up for it; otherwise save the energy for tomorrow."	Arrive in Yangshuo by the river	Flight DYG → KWL, ~1.5–2 hrs	https://images.unsplash.com/photo-1659233306527-226a26a08634?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-27	guilin	guilin-li-river-guesthouse	⛵	"## Yangshuo countryside day
Rent bicycles and ride the **Yulong River** route through rice paddies and karst hills.

## Afternoon
Do the peaceful **bamboo raft** section on the Yulong after lunch, then leave the rest of the day open for cafes, massages or a nap by the river.

## Dinner
Try **Yangshuo beer fish** tonight."	Yangshuo cycling and bamboo rafting		https://images.unsplash.com/photo-1557750223-53916b138a90?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-28	guilin	guilin-li-river-guesthouse	🛶	"## Li River cruise
Leave **Yangshuo** early by prebooked transfer to the **Guilin** pier, then take the classic downstream **Li River cruise** back to Yangshuo. It is an early start, but it fixes the route logic and lets you keep the most iconic river scenery.

## Afternoon
Disembark back in Yangshuo and keep the rest of the day gentle: coffee, shopping or one last wander through the villages.

## Evening
Farewell riverside dinner and pack for Hong Kong."	Li River cruise and one last Yangshuo night	Early transfer Yangshuo → Guilin pier; cruise returns to Yangshuo	https://images.unsplash.com/photo-1483413243523-38314559db0d?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-29	hongkong	hongkong-central-hostel	🌃	"## Travel
From Yangshuo, allow about **1 hr** back to **Guilin Liangjiang Airport**. For a group of seven, a **direct flight to Hong Kong** is the least stressful option; only use the Shenzhen rail-border combo if flight times are bad.

## Afternoon
Check in, then take the **Star Ferry** across the harbour to Kowloon and walk the **Tsim Sha Tsui** waterfront at dusk.

## Dinner
**Temple Street Night Market** for egg waffles, curry fishballs and HK-style milk tea."	Harbour lights and Hong Kong nights	Direct flight Guilin → Hong Kong preferred	https://images.unsplash.com/photo-1743271801869-ac6204f600de?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-30	hongkong	hongkong-central-hostel	🏙️	"## Morning
**Victoria Peak** — ride the century-old **Peak Tram** to the summit (go early before cloud rolls in). The 360-degree view of the harbour, islands and mountains is the defining Hong Kong panorama. Walk back down via the tree-lined **Lugard Road** circuit.

## Afternoon
Explore **Central** and **Sheung Wan** on foot — **Hollywood Road** antique shops, the **Man Mo Temple**, and **PMQ** creative market. Dim sum lunch at **Lin Heung Tea House** (old-school trolley service, arrive before **11 am**)."	Victoria Peak and dim sum in Central		https://images.unsplash.com/photo-1717256770124-e053bebb13b2?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-31	hongkong		✈️	"## Morning
Keep the final day simple: breakfast in **Sheung Wan**, a last browse around **Graham Street** or **Hollywood Road**, and back to the hotel to collect bags.

## Departure
For an evening flight from **Shenzhen**, prebook a **cross-border car** or leave by early afternoon via **MTR** to **Futian** or **Lo Wu** with plenty of buffer. Do not plan Lantau or another major excursion today."	Hong Kong farewell and flight home	CA1338 + CA963, depart SZX 21:00	https://images.unsplash.com/photo-1619437212695-f13fb47f43f6?fm=jpg&q=60&w=3000&auto=format&fit=crop
